link,fileName,title,category
https://vnexpress.net/9-vi-tuong-tai-cua-quan-doi-4828884.html,01-1734422813-1734488488.jpg,9 vị tướng tài của quân đội,Thời sự
https://vnexpress.net/cac-loai-sung-truong-sung-ban-tia-tai-trien-lam-quoc-phong-4830195.html,88b38e34ae3b13654a2a-1734682958.jpg,"Các loại súng trường, súng bắn tỉa tại triển lãm Quốc phòng",Thời sự
https://vnexpress.net/quan-nhac-khuay-dong-pho-di-bo-ho-guom-4830285.html,HUY-9212-1734713762.jpg,Quân nhạc khuấy động phố đi bộ Hồ Gươm,Thời sự
https://vnexpress.net/thu-do-sau-70-nam-lam-chu-nguon-dien-4830066.html,2_1734669146-1734669517.jpg,Thủ đô sau 70 năm làm chủ nguồn điện,Thời sự
https://vnexpress.net/lot-bat-nuoi-oc-buou-den-tren-dat-vuon-bo-hoang-4827814.html,z6116326682703-6f84547442cd211-8184-6890-1734153857.jpg,Lót bạt nuôi ốc bươu đen trên đất vườn bỏ hoang,Thời sự
https://vnexpress.net/bao-cao-quoc-hoi-ve-cai-cach-tien-luong-trong-nam-2025-4830340.html,a089a8c126da9b84c2cb-173474706-7450-6175-1734747509.jpg,Báo cáo Quốc hội về cải cách tiền lương trong năm 2025,Thời sự
https://vnexpress.net/nhan-chung-ke-khoanh-khac-oto-lao-vao-cho-giang-sinh-o-duc-4830337.html,Magdeburg-1734751748-5629-1734751791.jpg,Nhân chứng kể khoảnh khắc ôtô lao vào chợ Giáng sinh ở Đức,Thế giới
https://vnexpress.net/my-huy-khoan-treo-thuong-10-trieu-usd-voi-thu-linh-hts-4830329.html,afp-20241217-36qj266-v4-highre-2937-3668-1734748299.jpg,Mỹ hủy khoản treo thưởng 10 triệu USD với thủ lĩnh HTS,Thế giới
https://vnexpress.net/giay-phut-an-ninh-nga-bat-nghi-pham-am-sat-tu-lenh-phong-hoa-4830310.html,cats-8538-1734741498.jpg,Giây phút an ninh Nga bắt nghi phạm ám sát tư lệnh phòng hóa,Thế giới
https://vnexpress.net/elon-musk-khuyen-thu-tuong-duc-tu-chuc-4830318.html,afp-20241218-36qn3gw-v1-highre-3928-3587-1734745934.jpg,Elon Musk khuyên Thủ tướng Đức từ chức,Thế giới
https://vnexpress.net/elon-musk-phan-phao-sau-khi-bi-goi-la-tong-thong-ngam-4830345.html,AP24324780149643-6651-1734750972.jpg,Elon Musk phản pháo sau khi bị gọi là 'tổng thống ngầm',Thế giới
https://vnexpress.net/ha-vien-my-thong-qua-du-luat-ngan-chinh-phu-dong-cua-4830305.html,My-1734740586-9124-1734741033.jpg,Hạ viện Mỹ thông qua dự luật ngăn chính phủ đóng cửa,Thế giới
https://vnexpress.net/chung-khoan-hom-nay-20-12-co-phieu-vietnam-airlines-tang-kich-tran-4830189.html,20241220-155447-1734685034-173-5275-1880-1734685330.jpg,Chứng khoán hôm nay 20/12: Cổ phiếu Vietnam Airlines tăng kịch trần,Kinh doanh
https://vnexpress.net/cac-hang-xa-xi-muon-cho-thanh-toan-bang-tien-so-4830130.html,s-dupont-store-1-1024x1024-173-5382-9934-1734686746.jpg,Các hãng xa xỉ muốn cho thanh toán bằng tiền số,Kinh doanh
https://vnexpress.net/bitcoin-giam-ve-sat-92-000-usd-4830261.html,Bitcoin-giam-jpeg-1734700459-5258-1734700723.jpg,Bitcoin giảm về sát 92.000 USD,Kinh doanh
https://vnexpress.net/vai-chuc-nghin-dong-mot-bo-canh-man-tay-bac-chung-tet-som-4830119.html,dam-1734682215-1734682237-8265-1734682991.jpg,Vài chục nghìn đồng một bó cành mận Tây Bắc chưng Tết sớm,Kinh doanh
https://vnexpress.net/thu-tuong-yeu-cau-tiet-kiem-chi-de-dau-tu-phat-trien-4830378.html,download.jpg,Thủ tướng yêu cầu tiết kiệm chi để đầu tư phát triển,Kinh doanh
https://vnexpress.net/gia-vang-the-gioi-bat-tang-tro-lai-4830346.html,gold-2024-12-21T090624-347-173-5354-5926-1734746917.jpg,Giá vàng hôm nay ngày 21/12: Giá vàng thế giới bật tăng trở lại,Kinh doanh
https://vnexpress.net/gia-thue-van-phong-ha-noi-tp-hcm-se-dat-hon-4830082.html,DJI-20240828115746-0059-D-7042-1734744863.jpg,"Giá thuê văn phòng Hà Nội, TP HCM sẽ đắt hơn",Bất động sản
https://vnexpress.net/ly-do-ha-noi-dieu-chinh-gia-dat-cao-nhat-gap-gan-4-lan-4830278.html,bds-Ha-Noi-jpeg-1734713292-5303-1734715043.jpg,Lý do Hà Nội điều chỉnh giá đất cao nhất gấp gần 4 lần,Bất động sản
https://vnexpress.net/nha-pho-3-tang-ket-cau-thep-tien-che-xay-trong-4-thang-4830077.html,137-1-1734671145.jpg,Nhà phố 3 tầng kết cấu thép tiền chế xây trong 4 tháng,Bất động sản
https://vnexpress.net/ha-noi-cong-bo-bang-gia-dat-dieu-chinh-cao-nhat-gan-700-trieu-dong-mot-m2-4830263.html,dji-20240924155538-0238-d-enha-8064-4745-1734703572.jpg,"Hà Nội công bố bảng giá đất điều chỉnh, cao nhất gần 700 triệu đồng một m2",Bất động sản
https://vnexpress.net/bo-xay-dung-siet-chuyen-doi-cong-nang-nha-rieng-le-sau-vu-chay-quan-hat-4830232.html,chay-pvd-1734691538-1734691663-1941-1734691712.jpg,Bộ Xây dựng siết chuyển đổi công năng nhà riêng lẻ sau vụ cháy quán hát,Bất động sản
